"","fips_code","total_cases_per_100k","total_deaths_per_100k","E_TOTPOP","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MINRTY","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT"
"903","20043",38301.5597920277,519.930675909879,7501,19.1,1.6,22.3,8.8,7.5,19.5,19.5,12.2,3.9,0.2,10.9,1.9,11,1.8,4.8,10,14.6
"904","20045",29213.0585923724,152.820461148336,119094,23.5,4.8,30.9,4,7.4,13.2,17.8,11.5,3.7,0.8,22.9,18.4,1.6,1.9,6.5,7.5,9.6
"905","20047",24113.7241137241,596.700596700597,2849,23.1,3.9,14.9,12.4,9.8,21.9,22.6,15.8,6.7,4.2,25.7,1.8,3.2,0,4.8,2.7,17.6
"906","20049",28781.0843864656,529.963310232369,2453,29.7,3.8,17.2,13.1,9.5,27.5,22.7,24.1,2.2,0.3,11.7,0,13.2,1.1,5.2,0.7,19.6
"907","20051",29328.1698419833,321.565644341482,28921,24.4,3.3,30.1,4.7,6.3,15.1,20.5,12.7,5.5,0.3,11.7,5.3,4.1,2,3.8,4.9,10.2
"908","20053",38892.3752745528,533.417006589269,6374,20.6,3.5,19.7,7.7,5.3,22.8,18.1,17,2.7,0,15.3,2.3,11.1,1.2,4,15.9,14.9
"909","20055",34653.1542147851,337.811297038259,38187,22.5,5.4,23.4,27.9,13.6,11.3,29.9,13,5.9,11.4,60.7,5.4,12.3,6.6,6.3,1.8,14.4
"910","20057",36732.725359523,362.44592540629,34212,23.1,3.2,18.2,22.8,12.5,11.4,29.7,11.1,6.8,12.9,61.9,4.3,10.2,4.3,4.8,2,13.1
"911","20059",31966.2661737523,408.194701170671,25968,17.9,2.6,24.1,8,6.9,17.3,23.4,16.5,4.7,0.4,10.5,3.5,7.4,1.2,4,2.5,18.7
"912","20061",31917.1241757939,256.572957762022,36247,28.9,4.5,32,6.3,7.7,8.5,31.1,13.4,13.1,2.3,44.7,10.5,5.4,2.2,4.1,2.7,8.6
"913","20063",35242.9296591733,906.453952139231,2758,15.7,3.3,16.2,6.2,11,23.8,26.2,15,2.8,0,5.7,0.3,3.1,0.1,1.4,1.7,23.3
"914","20065",31604.9382716049,823.045267489712,2430,28.3,6.1,20.7,6.2,7.6,26.3,20.6,15.3,7.9,0.1,12.6,1,6.1,0,4.2,1.6,13.5
"915","20067",38413.3042529989,558.887677208288,7336,10.2,3.6,11.8,20.8,14.5,12.8,31.1,6.5,1.8,7.7,52.1,0,21.7,7.5,1.8,0.9,5
"916","20069",25074.3136912047,437.139360027977,5719,11.6,2.1,11.5,24.7,11,15.1,29.1,7.9,4,4.3,20.4,1.7,11.1,4,1.5,1.5,14.9
"917","20071",30570.7584050039,469.116497263487,1279,12.4,0.1,10.5,11.1,9.6,18.1,29.1,11.5,7.9,3.1,22.8,0.9,10.9,0,4.9,2.1,10.3
"918","20073",37227.1288118647,433.261123146142,6001,25.1,2.6,19.4,8.4,9.9,25.7,21.5,19.4,6.9,0.1,9.1,0,8.5,1,6.9,1.4,21.5
"919","20075",22182.5396825397,238.095238095238,2520,16,0,16.6,14.4,22.7,14.3,30.3,10.2,4.1,13.5,35.1,1.6,12.4,5.7,1.8,0.4,14.5
"920","20077",35404.0681693238,531.42752428074,5457,32.1,5.3,17.3,10.3,8.8,21.9,25.1,19,6.7,1.3,12.3,1,5.6,2.7,2.2,3.5,21.8
"921","20079",35542.8605082599,406.372390235284,33959,18.2,4.2,19.9,8.2,8.5,20.5,23.9,14.2,4.9,0.8,19,4.8,2.5,2.2,4.3,4,15.3
"922","20081",30495.3145917002,401.606425702811,3735,20.4,3.5,12.3,24.8,17.4,15.3,26.8,8.8,1.9,6.2,34.7,0.5,19.2,2.4,3.5,1.4,11.4
"923","20083",29096.0451977401,790.960451977401,1770,12.7,2.1,11.4,7.4,9.5,22.8,23.2,17.1,2.6,1.5,9.2,0.8,4.5,0.8,0.7,1.3,21.7
"924","20085",35181.557932801,301.340967304505,13274,15.5,2.1,20.8,6.2,8.3,19.5,24.3,16.6,4.4,1.9,17.1,2.2,7,1.9,3.7,1.3,14.3
"925","20087",31707.1844237777,391.581008321097,18387,11,3.5,22.6,4.3,5.6,19,22.4,14,3.2,0.1,7.7,0.6,6.7,0.7,4.5,1.1,10.4
"926","20089",33048.8221235917,614.544213041994,2929,28.9,1.5,15.9,7.5,5.7,30.2,20.4,16.9,2.8,0,7.3,0.9,7,0.9,3.4,1.1,22.5
"927","20091",29469.2357820487,230.702980964139,610742,9,3.2,19.4,3.5,5.5,15.2,23.8,8.9,4.8,1.5,21.8,12.6,0.6,1.2,3.3,0.9,4.9
"928","20093",35015.1362260343,554.994954591322,3964,28.4,2.2,16.9,19.6,13.7,16,30,13.2,8.1,5.1,37.9,0.3,14,1,2.7,1.9,9
"929","20095",31876.7811100556,407.110869860225,7369,16.5,4.7,16.3,9.2,9.5,19.9,21.8,16.4,2.5,0.1,9,1,7.8,1,4.2,2,19.2
"930","20097",31779.1411042945,327.19836400818,2445,13.7,3.6,17.8,11,11.6,22.7,22.8,16.1,2.2,0.9,11.7,1.9,5.4,1.5,2.8,8.9,20.9
"931","20099",40147.2929936306,457.8025477707,20096,24,2.4,19.6,9.5,9.8,19.6,24.2,20.7,5.9,0.3,15.7,4.1,6.2,1.5,5,3.1,17.6
"932","20101",24476.4397905759,785.340314136126,1528,18.6,0.4,15.3,4.2,15.8,22.2,20.4,16.3,4.4,0.8,16.5,2.1,5.1,0,2.8,0.3,14.7
"933","20103",29919.5612431444,259.597806215722,82050,14.8,4.5,21.5,6.6,6.7,15.1,23.6,13.4,5.4,0.3,22,4.1,1.5,1.7,4.8,7.1,10.3
"934","20105",25298.7367702288,443.837487196995,2929,22.9,1.8,20.1,5.4,7,25.1,22.5,16.5,4.1,0,7,3.2,4.6,0,3.8,1.9,26.2
"935","20107",36334.5709570957,371.287128712871,9696,19.9,4.4,26.2,6.5,10.2,22.1,22.1,17.4,4.6,0,8.4,1.2,13.9,2.2,4.1,0.5,21.7
"936","20109",37318.3139534884,581.395348837209,2752,22.5,0.3,15.8,7.6,9,20.9,24.9,19.3,5.8,1.7,10.5,2.2,8,1.1,3.5,1.1,10.3
"937","20111",37639.0528867069,425.703809582997,32182,26.8,2.7,25.2,12.2,10.6,15.2,22.1,14.4,4.5,3.3,30.1,11.8,7.3,3.3,6.5,3.6,13.1
"938","20113",32175.5027422304,475.319926873858,30085,16.2,2.1,20.8,7.3,6.7,19.7,21.4,13.3,5.6,0.4,9.7,3.1,4.8,1.6,3.7,5.7,13.5
"939","20115",34347.3497935451,471.896856829864,11867,18.3,3.7,18.2,7.9,6.6,23.1,21.2,14.8,4.8,0.3,8.3,1.7,4.8,0.9,3.3,6.8,17.7
"940","20117",29728.3802676253,509.286998202517,10014,19.6,2.8,19.9,7.8,5.3,22.1,24.4,13.9,2.7,0.6,6.7,2.8,6.1,2.1,4,2.1,15.9
"941","20119",35979.0992784274,721.572530480219,4019,17.5,1.2,14.7,13.6,9.5,16.2,26.3,9.5,7,2.1,26,0.5,9.7,1.4,2.9,2.5,11.9
"942","20121",28447.7733737468,317.673117276755,34312,11.4,2.8,20.3,4.4,6.5,17.3,23.6,13,5.8,0.4,8.5,2.9,4.4,1.3,2.7,2.2,15.1
"943","20123",30416.881111683,446.045633899468,5829,21.7,0.7,13.9,4.7,9.8,22.7,23.3,15.2,4.9,0,7.1,4,2.9,0,5.7,2.5,16.2
"944","20125",35340.8801831595,578.733146781989,31448,29,4.7,22.8,10,12.4,19.4,23.8,21.1,5.6,0.7,22.2,6.1,7.1,2,8.2,3.1,17.4
"945","20127",32999.0714948932,612.813370473538,5385,19,2.1,18.8,7.5,8,25.3,21.7,17.9,4.6,0.2,10.4,2.1,13.2,0.4,3.9,1.5,18.7
"946","20129",27715.7738095238,483.630952380952,2688,17.7,3.3,20,12.2,9.7,20,25.6,16.9,2.8,5.3,29.4,0.5,5.1,0,2.6,2.7,11.7
"947","20131",37469.4197083863,665.42714551326,10219,15.9,1.7,15.7,6.8,6,19.5,27.3,13.6,4,0,5.8,5.4,3.9,0.5,4,3.2,17.1
"948","20133",38822.1913307216,511.815998989006,15826,24.3,4.5,21.4,9,11.7,20.1,24.4,19.7,7.9,0.1,11.9,3.7,7.5,2.9,5.7,3.1,19.5
"949","20135",34553.6047814718,709.749719835637,2677,18.6,0.6,11.3,8.6,8.5,23.3,20.7,16.1,2,1.7,18.1,1.3,3.7,0.9,2.4,1.9,12.7
"950","20137",45406.0025777941,718.099797459031,5431,21.2,1.4,19.2,9.2,12.7,20.4,19.4,15.7,4.9,0.8,13.5,2.1,4.6,0.7,2.1,17.7,8.3
"951","20139",31392.9182238551,430.734148349908,15787,18.7,3.4,21.7,7.9,8.6,19.9,23.4,17.4,5.3,0,7.5,1.5,10.1,2,2.3,1.3,15.7
"952","20141",29916.9768107644,601.202404809619,3493,23.8,1.7,13.7,4.6,5.9,25.8,21.3,14.3,6.3,0.2,7.1,0,3.3,1.2,3.7,3.1,16.6
"953","20143",25312.0665742025,416.088765603329,5768,18.4,3.3,21,5.2,5.8,20.2,22.7,14,4.4,0.2,6.8,1,3.4,0.8,3.5,1.7,15.2
"954","20145",41984.7328244275,445.29262086514,6288,18.5,1.6,17.5,10.3,11.8,21.9,14.2,23.7,1.8,0.3,16.7,3,5.9,0,8.7,15.1,13.4
"955","20147",34516.1290322581,665.322580645161,4960,23.7,4,19.6,8.9,7.8,24.4,22.3,17.8,5.5,0.1,7.4,3,5,2.8,2.5,1.7,13.6
"956","20149",28176.7522172514,282.552389922298,25482,13.9,1.9,17.7,4,4.9,14.8,28.9,11.7,4.7,0.2,11.3,1.3,11.4,3.9,1.7,1.7,9
"957","20151",24991.825613079,435.967302452316,9175,19.4,3.6,19.6,8.1,8.5,20.3,25.1,13.2,9.3,0.3,13.5,4,3.7,0.7,3.9,5.3,16.3
"958","20153",31918.2389937107,471.698113207547,2544,29.1,1,17.8,5.3,8.1,26.9,22.7,22.9,2.2,1.2,11.4,1,13.9,2.5,5.5,1.4,15.6
"959","20155",37192.3530647533,465.409414844621,61881,23.1,4.2,21.8,8.3,9.2,20.1,22.3,16.1,5.9,0.5,17,5.5,4,1.7,4.6,4.7,16.4
"960","20157",33397.353819889,490.82373026035,4686,22.8,0.6,12.8,4.6,5.3,26.2,23.4,15.5,2.9,0,5.8,4.3,2.4,0.2,4,1.6,23.7
"961","20159",33153.2676623239,349.539243724182,9441,17.7,3.6,14,8,7.6,19.7,23.1,15.3,4.4,1.3,19.1,2.4,2.8,0.4,2.4,7.1,17.3
"962","20161",23001.1788364191,152.55530129672,72105,32.2,5.1,35.9,4.2,6.1,9.6,15.9,12.7,6.3,1.1,24.4,18.7,5.5,2.7,5.4,15.3,9.5
"963","20163",32548.2233502538,426.395939086294,4925,13.9,1.8,12.5,7.4,5.3,22.9,21.2,18.5,3.5,0,6.1,2.5,3.2,0.6,7,4.2,17.1
"964","20165",32970.39809459,816.604287172508,2939,22.4,4.4,19.5,9.1,5.8,24.3,20.1,14.8,1.8,0.3,11.7,0.2,6.1,0.5,2.8,2.5,13
"965","20167",32214.2643986869,641.599522530588,6702,27.4,3.9,28.7,6.6,10.6,24.9,21.8,16.7,4.3,0.1,10.1,4.9,2.2,1.1,3.6,1.7,13.2
"966","20169",31877.7695716396,511.447562776957,54160,20.5,3.6,25.4,6.3,9,18.4,22.8,16.1,7.3,0.7,20.7,6.4,2.4,0.6,8.1,2.9,13
"967","20171",30947.7379095164,741.029641185647,5128,21.2,2.3,21.8,15.1,4,20.5,26.5,12.9,5.7,3.5,24.2,4.5,4.1,1.8,1.3,2,23.8
"968","20173",32999.6173713411,331.16510426631,522700,21.7,5.3,24.7,10.5,10.9,15.2,25.1,14.6,6.8,2.7,33.6,11.8,3.2,2.4,6,1.4,10.5
"969","20175",38893.4463585817,328.137817883511,21942,26.4,2.7,24.8,30.2,14.5,10.1,31,8.3,7.7,17.8,71.9,6.5,12.4,2.1,6.8,1.9,13
"970","20177",34457.6627011896,422.113365990203,178625,20.6,4.2,24.4,7.1,8.2,18.6,23.2,13.7,6.3,1.6,27.8,11,2.9,2.1,7,3,17
"971","20179",37387.7551020409,775.510204081633,2450,13.5,0.4,20.6,3.7,5.4,23.2,25.6,14.1,4.1,0.3,8.3,2,4.7,0,5.8,1.3,10
"972","20181",30606.0606060606,387.205387205387,5940,20.7,2.4,25.1,10.3,8.6,20.6,23.4,18.1,12.5,0.2,17.1,3.2,6.4,0.9,3.3,5.9,10.6
"973","20183",23841.6175231677,280.8199943836,3561,18.4,2.1,16.3,4.6,8.1,28.6,19.5,18.1,4.2,0.1,6.3,2.3,2.4,0.7,2.7,1.7,14.7
"974","20185",34681.7957572767,789.343857918106,4054,21.4,3.5,15.4,6.8,8.7,21.6,24,15.4,5,1,17.4,0.3,5.4,1.4,2.4,3,16.8
"975","20187",25873.786407767,582.52427184466,2060,25.5,3,9.7,20,21.1,15.9,24.4,12,3.8,8.3,44.3,0.3,27.7,0.2,1.6,1.5,20.5
